latitude,longitude,altitude
40.41347921,-79.94838493,248.380
40.41347680,-79.94838391,248.898
40.41346887,-79.94838167,249.665
40.41344083,-79.94837095,252.739
40.41337559,-79.94834652,259.283
40.41333774,-79.94833164,262.390
40.41330787,-79.94831965,265.612
40.41330287,-79.94831795,266.085
40.41323417,-79.94829499,271.925
40.41322991,-79.94829334,272.620
40.41321817,-79.94828894,273.074
40.41316017,-79.94826829,277.999
40.41428335,-79.94890790,209.102
40.41423774,-79.94886934,213.124
40.41419618,-79.94873726,213.821
40.41417874,-79.94867450,211.014
40.41408303,-79.94863325,201.625
40.41407079,-79.94862952,200.297
40.41402653,-79.94861504,196.839
40.41400027,-79.94860275,195.435
40.41391133,-79.94855796,196.990
40.41389271,-79.94854860,198.676
40.41300106,-79.94821832,291.419
40.41381239,-79.94850588,206.770
40.41378049,-79.94848513,210.869
40.41296857,-79.94821235,294.010
40.41293467,-79.94819470,297.256
40.41353618,-79.94840647,241.532
40.41351706,-79.94839865,243.893
40.41347663,-79.94838404,248.824
40.41344748,-79.94837336,251.766
40.41332489,-79.94832621,264.117
40.41327843,-79.94830948,268.184
40.41321812,-79.94828881,272.822
40.41313549,-79.94826034,279.508
40.41308355,-79.94824278,283.980
40.41304347,-79.94822891,287.913
40.41299098,-79.94821627,292.126
40.41295757,-79.94820791,294.951
40.41292930,-79.94818931,297.687
40.41291181,-79.94816518,299.806
40.41290621,-79.94815592,300.423
40.41287984,-79.94807545,304.845
40.41285350,-79.94798335,308.844
40.41284212,-79.94794090,310.807
40.41281548,-79.94785475,313.963
40.41279306,-79.94779355,315.985
40.41277334,-79.94773528,318.249
40.41275540,-79.94768520,320.392
40.41273979,-79.94762948,322.359
40.41271264,-79.94755112,326.212
40.41269954,-79.94751287,327.981
40.41269371,-79.94749759,328.902
40.41279237,-79.94779389,315.883
40.41259286,-79.94719426,344.510
40.41257749,-79.94715530,347.029
40.41252107,-79.94706058,356.181
40.41275730,-79.94769272,319.540
40.41245024,-79.94696018,366.992
40.41274891,-79.94766854,320.828
40.41253295,-79.94707790,354.266
40.41259646,-79.94720139,343.879
40.41264069,-79.94733989,336.028
40.41265970,-79.94740315,332.976
40.41268412,-79.94746712,330.365
40.41270205,-79.94752076,327.557
40.41271318,-79.94755804,325.793
40.41273264,-79.94761280,323.093
40.41274771,-79.94766047,320.941
40.41277160,-79.94773456,318.064
40.41268032,-79.94745905,330.703
40.41281677,-79.94786406,313.672
40.41282938,-79.94790718,311.985
40.41283908,-79.94793265,310.722
40.41284132,-79.94794886,310.121
40.41285108,-79.94797608,309.082
40.41264124,-79.94733956,336.100
40.41263917,-79.94733174,336.493
40.41263344,-79.94731522,337.434
40.41262873,-79.94729842,338.255
40.41262467,-79.94728994,338.629
40.41262071,-79.94727391,339.614
40.41261454,-79.94725711,340.561
40.41261273,-79.94724948,341.158
40.41260836,-79.94723351,341.922
40.41260230,-79.94721779,343.064
40.41259876,-79.94720936,343.527
40.41259349,-79.94719441,344.559
40.41258704,-79.94717806,345.460
40.41258471,-79.94717091,346.056
40.41257736,-79.94715537,346.990
40.41257120,-79.94714103,348.253
40.41256628,-79.94713361,348.833
40.41256067,-79.94712134,350.141
40.41255201,-79.94710779,351.092
40.41254908,-79.94710149,351.835
40.41254226,-79.94708981,353.041
40.41253334,-79.94707805,354.231
40.41253043,-79.94707207,354.699
40.41252112,-79.94706052,356.176
40.41251346,-79.94704972,357.506
40.41250986,-79.94704398,358.363
40.41250003,-79.94703193,359.753
40.41249147,-79.94702017,360.960
40.41248589,-79.94701380,361.463
40.41247745,-79.94700086,362.865
40.41247002,-79.94698931,364.239
40.41246594,-79.94698405,364.773
40.41245856,-79.94697199,365.872
40.41245087,-79.94696099,366.969
40.41244838,-79.94695505,367.580
40.41244342,-79.94694966,368.266
40.41245115,-79.94696089,367.011
40.41245492,-79.94696751,366.540
40.41246226,-79.94697807,365.280
40.41248202,-79.94700833,361.980
40.41291896,-79.94817601,298.960
40.41296374,-79.94821019,294.448
40.41304853,-79.94823222,286.957
40.41315948,-79.94826846,277.982
40.41329601,-79.94831520,266.444
40.41334237,-79.94833265,262.310
40.41337899,-79.94834804,259.003
40.41344410,-79.94837242,252.502
40.41351179,-79.94839663,245.006
40.41357826,-79.94841966,236.573
40.41363743,-79.94843867,229.206
40.41367643,-79.94844973,224.068
40.41373266,-79.94846085,217.135
40.41383262,-79.94851898,204.612
40.41387507,-79.94853942,199.949
40.41390337,-79.94855448,197.638
40.41393611,-79.94857081,195.643
40.41397548,-79.94859155,195.489
40.41404089,-79.94861991,197.719
40.41407436,-79.94863042,200.334
40.41410048,-79.94863763,203.665
40.41416443,-79.94865802,209.825
40.41419893,-79.94874634,214.106
40.41421847,-79.94881783,214.275
40.41430188,-79.94891397,207.732
40.41433541,-79.94892689,205.156
40.41273340,-79.94761284,322.921
40.41273649,-79.94762144,322.648
40.41472287,-79.94908989,169.936
40.41277792,-79.94775916,317.026
40.41278899,-79.94778485,316.217
40.41279442,-79.94780177,315.488
40.41281851,-79.94787199,313.228
40.41285126,-79.94797621,309.070
40.41286774,-79.94803358,306.764
40.41288491,-79.94809820,303.595
40.41494381,-79.94887881,153.067
40.41482025,-79.94902749,162.036
40.41462695,-79.94903656,180.502
40.41456967,-79.94901024,186.126
40.41453142,-79.94899476,189.832
40.41293698,-79.94819698,296.668
40.41430393,-79.94891513,207.640
40.41295575,-79.94820817,295.082
40.41422987,-79.94885253,213.399
40.41420283,-79.94876503,214.192
40.41418501,-79.94870008,212.398
40.41417190,-79.94866239,210.513
40.41413056,-79.94864648,206.514
40.41410301,-79.94863863,203.860
40.41401858,-79.94861180,196.136
40.41399181,-79.94859913,195.274
40.41395858,-79.94858190,195.207
40.41393251,-79.94856917,195.998
40.41391113,-79.94855836,196.986
40.41388634,-79.94854526,199.031
40.41385168,-79.94852896,202.454
40.41382812,-79.94851649,204.985
40.41380044,-79.94849789,208.211
40.41377351,-79.94848038,211.703
40.41367885,-79.94844948,223.775
40.41365220,-79.94844345,227.130
40.41363259,-79.94843749,229.801
40.41360965,-79.94843004,232.448
40.41313520,-79.94825966,279.414
40.41355681,-79.94841356,239.201
40.41351287,-79.94839709,244.249
40.41315877,-79.94826799,277.975
40.41345929,-79.94837761,250.419
40.41343524,-79.94836913,253.101
40.41317418,-79.94827460,276.791
40.41319931,-79.94828377,274.707
40.41340491,-79.94835829,256.212
40.41339704,-79.94835452,257.337
40.41339120,-79.94835214,257.613
40.41323413,-79.94829482,271.817
40.41323742,-79.94829645,271.648
40.41324817,-79.94829969,270.742
40.41325743,-79.94830237,269.876
40.41326284,-79.94830419,269.667
40.41327100,-79.94830665,268.811
40.41328240,-79.94831118,267.782
40.41328711,-79.94831250,267.284
40.41329546,-79.94831476,266.421
40.41330557,-79.94831802,265.782
40.41331125,-79.94832041,265.199
40.41331852,-79.94832300,264.383
40.41332814,-79.94832719,263.952
40.41333225,-79.94832867,263.132
40.41334208,-79.94833241,262.184
40.41335069,-79.94833581,261.347
40.41335603,-79.94833767,260.976
40.41336444,-79.94834162,260.096
40.41337352,-79.94834498,259.315
40.41337852,-79.94834741,258.793
40.41338713,-79.94834983,258.085
40.41339652,-79.94835397,257.470
40.41340081,-79.94835618,256.901
40.41341035,-79.94835992,255.901
40.41341855,-79.94836249,255.083
40.41342391,-79.94836482,254.650
40.41343130,-79.94836817,253.825
40.41343938,-79.94837003,252.786
40.41344496,-79.94837276,252.546
40.41345097,-79.94837463,251.398
40.41346002,-79.94837811,250.420
40.41346276,-79.94837969,249.930
40.41347024,-79.94838133,249.303
40.41347745,-79.94838415,248.349
40.41348047,-79.94838499,248.080
40.41348918,-79.94838743,247.039
40.41349728,-79.94839058,246.507
40.41350228,-79.94839240,245.923
40.41350956,-79.94839522,245.175
40.41351744,-79.94839849,243.798
40.41352009,-79.94839984,243.627
40.41352900,-79.94840277,242.485
40.41353596,-79.94840558,241.762
40.41354086,-79.94840718,241.320
40.41354815,-79.94841042,240.168
40.41355628,-79.94841326,239.256
